player_id,player_name,player_display_name,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent,last_year_ppr_points,rolling_ppr,depth_position,def_points_against,total,moneyline,team,team_doubtful,team_out,team_questionable,injured,fp_proj,position_QB,position_RB,position_TE,position_WR
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,1.0,REG,23.4375,35.625,272.1875,1.8125,0.6875,1.3125,9.1875,0.25,0.125,280.4375,132.5625,12.8125,5.784496513570734,0.0,1.05254120409356,0.12874327873588873,1.4375,2.1875,0.125,0.0,0.0,0.625,0.129014275980683,0.0,0.0625,0.0625,0.375,0.0,0.0,0.0,0.0,0.375,0.0,-0.013786598341539502,0.0,0.0,0.0015625,0.0,0.0,0.0,25.64,25.64,PIT,0.0,0.0,1.0,0.0,49.0,-228.0,NE,0.0,0.0,3.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,2.0,REG,24.0,36.0,341.0,3.0,0.0,1.0,7.0,0.0,0.0,286.0,136.0,14.0,17.00039291381836,0.0,1.192307710647583,0.20024871826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.66,24.66,MIA,281.3,25.639999389648438,1.0,40.66,48.5,-1300.0,NE,0.0,1.0,2.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,3.0,REG,22.0,32.0,302.5,2.5,0.0,1.5,8.0,0.0,0.0,275.0,113.5,13.5,16.485899448394775,0.0,1.0961538553237915,0.22588472068309784,1.0,0.5,0.5,0.0,0.0,0.5,0.6033521294593811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14,20.14,NYJ,281.3,25.149999618530273,1.0,15.48,43.0,-1962.0,NE,0.0,1.0,5.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,4.0,REG,24.0,35.333333333333336,303.6666666666667,2.3333333333333335,0.0,1.0,5.333333333333333,0.0,0.0,279.0,122.66666666666667,14.333333333333334,14.574551900227865,0.0,1.086169918378194,0.2104195555051168,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.15420997142791748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,BUF,281.3,23.479999542236328,1.0,13.1,41.5,-321.0,NE,0.0,0.0,7.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,5.0,REG,22.0,36.333333333333336,240.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,3.0,0.0,0.0,280.0,107.33333333333333,11.333333333333334,3.620499610900879,0.0,0.8617444038391113,0.13005071133375168,2.3333333333333335,-1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.10280664761861165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.92,23.92,WAS,281.3,16.16666642824809,1.0,19.8,42.0,-963.0,NE,0.0,3.0,2.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,6.0,REG,24.666666666666668,41.0,268.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,12.0,0.0,0.0,297.3333333333333,127.33333333333333,12.333333333333334,2.6846911112467446,0.0,0.8954996665318807,0.10554568221171697,1.6666666666666667,-1.3333333333333333,0.0,0.0,0.0,0.0,-0.14746609330177307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96,21.96,NYG,281.3,15.919999837875366,1.0,15.366666666666664,43.0,-1071.0,NE,0.0,1.0,6.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,7.0,REG,25.666666666666668,40.666666666666664,277.3333333333333,1.0,1.0,2.3333333333333335,19.0,0.6666666666666666,0.3333333333333333,295.0,133.66666666666666,12.666666666666666,-1.7225369612375896,0.0,0.9377180337905884,0.09395281225442886,3.3333333333333335,1.0,0.6666666666666666,0.0,0.0,1.0,-0.9049220681190491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.96,11.96,NYJ,281.3,16.526666402816772,1.0,10.026666666666666,43.0,-371.0,NE,0.0,3.0,5.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,8.0,REG,30.0,42.666666666666664,310.3333333333333,1.3333333333333333,1.0,2.3333333333333335,19.0,0.6666666666666666,0.3333333333333333,273.0,144.66666666666666,15.0,4.999346494674683,0.0,1.1369049549102783,0.14884881675243378,2.3333333333333335,2.0,0.6666666666666666,0.0,0.0,1.0,-1.8098441362380981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.36,18.36,CLE,281.3,19.27999973297119,1.0,14.613333333333332,43.0,-367.0,NE,0.0,2.0,5.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,9.0,REG,27.333333333333332,40.666666666666664,280.6666666666667,1.0,0.6666666666666666,2.0,13.666666666666666,0.6666666666666666,0.3333333333333333,252.0,131.0,13.333333333333334,2.345918893814087,0.0,1.11105481783549,0.1165880411863327,2.3333333333333335,2.0,0.6666666666666666,0.0,0.0,1.0,-1.8098441362380981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,BAL,281.3,17.426666577657063,1.0,9.313333333333333,44.5,-150.0,NE,0.0,1.0,7.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,11.0,REG,27.0,42.333333333333336,264.3333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,12.333333333333334,0.0,0.0,264.6666666666667,129.33333333333334,13.333333333333334,3.8692400455474854,0.0,1.0121779044469197,0.09696853160858154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54,8.54,PHI,281.3,14.573333422342936,1.0,7.920000000000001,45.0,-210.0,NE,0.0,0.0,7.0,0.0,0.0,1,0,0,0
00-0019596,T.Brady,Tom Brady,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",NE,2019.0,12.0,REG,25.333333333333332,43.0,253.33333333333334,1.0,0.3333333333333333,2.0,14.666666666666666,0.0,0.0,301.3333333333333,133.0,13.666666666666666,0.46698323885599774,0.0,0.8561968008677164,0.05071461386978626,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,DAL,281.3,13.433333396911621,1.0,19.52,44.5,-231.0,NE,0.0,0.0,12.0,1.0,0.0,1,0,0,0
