,player_id,player_name,player_display_name,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent,last_year_ppr_points,rolling_ppr,depth_position,def_points_against,total,moneyline,team,team_doubtful,team_out,team_questionable,injured,fp_proj,position_QB,position_RB,position_TE,position_WR
167,00-0035261,T.Pollard,Tony Pollard,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pqhmih6cdyb3yqfd1dmb",DAL,2023.0,6.0,REG,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,66.0,0.0,0.3333333333333333,0.3333333333333333,3.6666666666666665,-0.534321129322052,0.0,3.3333333333333335,3.6666666666666665,15.666666666666666,0.0,0.0,0.0,-0.3333333333333333,16.0,0.6666666666666666,-0.19466882944107056,0.0,6.7416666348775225,0.1189073696732521,-0.004581411058704059,0.2930517,0.0,0.0,0.0,SF,248.80000000000004,10.833333333333334,1.0,13.366666666666664,51.0,-125.0,DAL,1.0,2.0,1.0,0.0,17.2,0,1,0,0
168,00-0035289,G.Minshew,Gardner Minshew,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvv8ki5crxio2rxfwzng",IND,2023.0,6.0,REG,TEN,19.0,27.0,184.33333333333334,0.6666666666666666,0.0,1.6666666666666667,13.0,0.3333333333333333,0.0,179.0,89.0,8.333333333333334,2.6322004000345864,0.0,1.393800675868988,0.17724999506026506,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,-1.557050734758377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,36.82000000000001,10.173333485921225,2.0,12.193333333333335,44.0,170.0,IND,0.0,1.0,2.0,0.0,0.0,1,0,0,0
169,00-0035291,T.Williams,Trayveon Williams,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwyipowl19fmjrfm37nd",CIN,2023.0,6.0,REG,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.333333333333333,0.0,0.0,0.0,0.3333333333333333,0.15599075456460318,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.356071710586548,0.0,0.0,0.043478261679410934,-0.00937500037252903,0.0,0.0,0.0,0.0,ARI,8.0,0.4333333373069763,2.0,33.53333333333333,45.5,-155.0,CIN,0.0,1.0,4.0,0.0,1.9,0,1,0,0
170,00-0035298,S.Miller,Scott Miller,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/op0lagoypltubc9t61qu",ATL,2023.0,6.0,REG,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,-7.0,17.0,0.0,0.29863759875297546,0.0,0.0,0.05263157933950424,-0.022082019597291946,0.06348996,0.0,0.0,0.0,HOU,42.300000000000004,3.0,4.0,23.426666666666662,42.0,-125.0,0,0.0,0.0,0.0,0.0,0.6,0,0,0,1
172,00-0035341,T.Irwin,Trenton Irwin,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nx9e98gqxm1ov8z9rsn2",CIN,2023.0,6.0,REG,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.5,38.5,0.0,0.5,0.0,54.5,14.5,2.5,0.9221870377659798,0.0,1.5084033906459808,0.1321548856794834,0.19891871698200703,0.5805064,0.0,0.0,0.0,ARI,63.2,8.350000023841858,4.0,45.833333333333336,45.5,-155.0,CIN,0.0,1.0,4.0,0.0,3.0,0,0,0,1
173,00-0035406,L.Humphrey,Lil'Jordan Humphrey,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r58pqj96qunak08kld9u",DEN,2023.0,6.0,REG,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,8.666666666666666,0.3333333333333333,0.0,0.0,13.333333333333334,3.0,0.6666666666666666,1.1289979219436646,0.0,1.1920228054126103,0.05834520484010378,0.06334471454222997,0.07890443,0.0,0.0,0.0,CHI,4.0,4.200000087420146,5.0,36.5,47.5,470.0,DEN,0.0,3.0,1.0,0.0,0.7,0,0,0,1
174,00-0035535,D.Slayton,Darius Slayton,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emmy86blz71njkcr496b",NYG,2023.0,6.0,REG,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,4.333333333333333,30.0,0.0,0.0,0.0,45.0,11.666666666666666,2.0,1.452332317829132,0.0,0.8333333432674408,0.13819444676240286,0.24872199694315592,0.35517243,0.0,0.0,0.0,MIA,128.4,5.333333333333333,1.0,44.26666666666667,43.5,750.0,NYG,0.0,5.0,7.0,0.0,6.9,0,0,0,1
175,00-0035567,C.Reynolds,Craig Reynolds,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xrtk4bhx2jacwojihzor",DET,2023.0,6.0,REG,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,24.666666666666668,0.3333333333333333,0.0,0.0,1.3333333333333333,1.0953316688537598,0.0,0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,-0.9671333432197571,0.0,1.0,0.029411764815449715,-0.007092198356986046,0.0,0.0,0.0,0.0,CAR,30.8,4.733333269755046,3.0,29.8,43.5,-162.0,DET,0.0,7.0,2.0,0.0,5.0,0,1,0,0
176,00-0035628,D.Johnson,D'Ernest Johnson,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zq7xfjee4nyktfky1ofe",JAX,2023.0,6.0,REG,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,4.0,0.0,0.0,0.0,0.0,-0.446527361869812,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.3333333333333333,3.6666666666666665,0.6666666666666666,0.3258146196603775,0.0,-2.100000023841858,0.03719512186944485,0.007847455213777721,0.0,0.0,0.0,0.0,ATL,5.400000000000001,1.9000000307957332,4.0,10.733333333333334,44.0,-205.0,JAX,0.0,4.0,1.0,0.0,1.4,0,1,0,0
177,00-0035631,D.Sample,Drew Sample,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tqvgozvbmckyaditwpbn",CIN,2023.0,6.0,REG,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-5.5,8.5,0.0,-0.6873938366770744,0.0,0.0,0.029388084076344967,-0.03402777807787061,0.016666668,0.0,0.0,0.0,TEN,1.7999999999999998,1.300000011920929,2.0,6.966666666666668,45.5,-155.0,CIN,0.0,1.0,4.0,0.0,0.8,0,0,1,0
